Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Date,Sector
0.17963600158691406,0.17963600158691406,0.17963600158691406,0.17963600158691406,1063091,0.0,0.0,FZR,2020-01-02 00:00:00+11:00,Energy
0.17963600158691406,0.17963600158691406,0.17963600158691406,0.17963600158691406,0,0.0,0.0,FZR,2020-01-03 00:00:00+11:00,Energy
0.17963600158691406,0.17963600158691406,0.17963600158691406,0.17963600158691406,9952,0.0,0.0,FZR,2020-01-06 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.16072699427604675,0.16072699427604675,121333,0.0,0.0,FZR,2020-01-07 00:00:00+11:00,Energy
0.16072699427604675,0.16072699427604675,0.16072699427604675,0.16072699427604675,0,0.0,0.0,FZR,2020-01-08 00:00:00+11:00,Energy
0.16072699427604675,0.16072699427604675,0.16072699427604675,0.16072699427604675,0,0.0,0.0,FZR,2020-01-09 00:00:00+11:00,Energy
0.16072699427604675,0.16072699427604675,0.16072699427604675,0.16072699427604675,0,0.0,0.0,FZR,2020-01-10 00:00:00+11:00,Energy
0.16072699427604675,0.16072699427604675,0.16072699427604675,0.16072699427604675,0,0.0,0.0,FZR,2020-01-13 00:00:00+11:00,Energy
0.16072699427604675,0.16072699427604675,0.16072699427604675,0.16072699427604675,0,0.0,0.0,FZR,2020-01-14 00:00:00+11:00,Energy
0.16072699427604675,0.16072699427604675,0.16072699427604675,0.16072699427604675,0,0.0,0.0,FZR,2020-01-15 00:00:00+11:00,Energy
0.16072699427604675,0.16072699427604675,0.16072699427604675,0.16072699427604675,0,0.0,0.0,FZR,2020-01-16 00:00:00+11:00,Energy
0.16072699427604675,0.16072699427604675,0.16072699427604675,0.16072699427604675,0,0.0,0.0,FZR,2020-01-17 00:00:00+11:00,Energy
0.16072699427604675,0.16072699427604675,0.16072699427604675,0.16072699427604675,0,0.0,0.0,FZR,2020-01-20 00:00:00+11:00,Energy
0.17963600158691406,0.17963600158691406,0.17963600158691406,0.17963600158691406,18741,0.0,0.0,FZR,2020-01-21 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,84615,0.0,0.0,FZR,2020-01-22 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,0,0.0,0.0,FZR,2020-01-23 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,0,0.0,0.0,FZR,2020-01-24 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,37548,0.0,0.0,FZR,2020-01-28 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,54794,0.0,0.0,FZR,2020-01-29 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,24003,0.0,0.0,FZR,2020-01-30 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,0,0.0,0.0,FZR,2020-01-31 00:00:00+11:00,Energy
0.18436299264431,0.18436299264431,0.17963600158691406,0.17963600158691406,5181,0.0,0.0,FZR,2020-02-03 00:00:00+11:00,Energy
0.17963600158691406,0.17963600158691406,0.17963600158691406,0.17963600158691406,0,0.0,0.0,FZR,2020-02-04 00:00:00+11:00,Energy
0.17963600158691406,0.17963600158691406,0.17963600158691406,0.17963600158691406,105769,0.0,0.0,FZR,2020-02-05 00:00:00+11:00,Energy
0.17963600158691406,0.17963600158691406,0.17963600158691406,0.17963600158691406,0,0.0,0.0,FZR,2020-02-06 00:00:00+11:00,Energy
0.17963600158691406,0.17963600158691406,0.17963600158691406,0.17963600158691406,0,0.0,0.0,FZR,2020-02-07 00:00:00+11:00,Energy
0.18436299264431,0.18908999860286713,0.18436299264431,0.18908999860286713,52884,0.0,0.0,FZR,2020-02-10 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,0,0.0,0.0,FZR,2020-02-11 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,264423,0.0,0.0,FZR,2020-02-12 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,2919,0.0,0.0,FZR,2020-02-13 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,0,0.0,0.0,FZR,2020-02-14 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,0,0.0,0.0,FZR,2020-02-17 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,83578,0.0,0.0,FZR,2020-02-18 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,10576,0.0,0.0,FZR,2020-02-19 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,0,0.0,0.0,FZR,2020-02-20 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,0,0.0,0.0,FZR,2020-02-21 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18908999860286713,0.18908999860286713,0,0.0,0.0,FZR,2020-02-24 00:00:00+11:00,Energy
0.18908999860286713,0.18908999860286713,0.18436299264431,0.18436299264431,120999,0.0,0.0,FZR,2020-02-25 00:00:00+11:00,Energy
0.18436299264431,0.18436299264431,0.18436299264431,0.18436299264431,0,0.0,0.0,FZR,2020-02-26 00:00:00+11:00,Energy
0.18436299264431,0.18436299264431,0.18436299264431,0.18436299264431,105769,0.0,0.0,FZR,2020-02-27 00:00:00+11:00,Energy
0.18436299264431,0.18436299264431,0.17963600158691406,0.17963600158691406,133556,0.0,0.0,FZR,2020-02-28 00:00:00+11:00,Energy
0.17963600158691406,0.17963600158691406,0.17963600158691406,0.17963600158691406,0,0.0,0.0,FZR,2020-03-02 00:00:00+11:00,Energy
0.17963600158691406,0.17963600158691406,0.17963600158691406,0.17963600158691406,126923,0.0,0.0,FZR,2020-03-03 00:00:00+11:00,Energy
0.17963600158691406,0.17963600158691406,0.17963600158691406,0.17963600158691406,109712,0.0,0.0,FZR,2020-03-04 00:00:00+11:00,Energy
0.17490899562835693,0.17490899562835693,0.17490899562835693,0.17490899562835693,40262,0.0,0.0,FZR,2020-03-05 00:00:00+11:00,Energy
0.17490899562835693,0.17490899562835693,0.170181006193161,0.170181006193161,60975,0.0,0.0,FZR,2020-03-06 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-09 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-10 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-11 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-12 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-13 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-16 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-17 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-18 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-19 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-20 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-23 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-24 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-25 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-26 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-27 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-30 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-03-31 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-04-01 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-04-02 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-04-03 00:00:00+11:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-04-06 00:00:00+10:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-04-07 00:00:00+10:00,Energy
0.170181006193161,0.170181006193161,0.170181006193161,0.170181006193161,0,0.0,0.0,FZR,2020-04-08 00:00:00+10:00,Energy
