Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Date,Sector
2.7647101879119873,2.7647101879119873,2.7647101879119873,2.7647101879119873,0,0.0,0.0,BGP,2020-01-02 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.7647101879119873,2.7647101879119873,2.7647101879119873,2.7647101879119873,0,0.0,0.0,BGP,2020-01-03 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.7647101879119873,2.7647101879119873,2.7647101879119873,2.7647101879119873,0,0.0,0.0,BGP,2020-01-06 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.7647101879119873,2.7647101879119873,2.7647101879119873,2.7647101879119873,0,0.0,0.0,BGP,2020-01-07 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.7647101879119873,2.7647101879119873,2.7647101879119873,2.7647101879119873,0,0.0,0.0,BGP,2020-01-08 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.7647101879119873,2.7647101879119873,2.7647101879119873,2.7647101879119873,0,0.0,0.0,BGP,2020-01-09 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.4859792386021926,2.862642765045166,2.4859792386021926,2.862642765045166,13620,0.0,0.0,BGP,2020-01-10 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.862642765045166,2.862642765045166,2.862642765045166,2.862642765045166,0,0.0,0.0,BGP,2020-01-13 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.862642765045166,2.862642765045166,2.862642765045166,2.862642765045166,0,0.0,0.0,BGP,2020-01-14 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,150,0.0,0.0,BGP,2020-01-15 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-01-16 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-01-17 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-01-20 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-01-21 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-01-22 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-01-23 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-01-24 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-01-28 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-01-29 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-01-30 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-01-31 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-02-03 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-02-04 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-02-05 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-02-06 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-02-07 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9304421437417743,2.9379754066467285,2.9229088808368195,2.9379754066467285,3750,0.0,0.0,BGP,2020-02-10 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-02-11 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.862642765045166,2.862642765045166,2.7345772881874275,2.862642765045166,22909,0.0,0.0,BGP,2020-02-12 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.892775774002075,2.892775774002075,2.892775774002075,2.892775774002075,22725,0.0,0.0,BGP,2020-02-13 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,227,0.0,0.0,BGP,2020-02-14 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-02-17 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-02-18 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-02-19 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-02-20 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-02-21 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-02-24 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-02-25 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-02-26 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-02-27 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-02-28 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-03-02 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-03-03 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.9379754066467285,2.9379754066467285,2.9379754066467285,2.9379754066467285,0,0.0,0.0,BGP,2020-03-04 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.990708112716675,2.990708112716675,2.990708112716675,2.990708112716675,60,0.0,0.0,BGP,2020-03-05 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.990708112716675,2.990708112716675,2.990708112716675,2.990708112716675,0,0.0,0.0,BGP,2020-03-06 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.990708112716675,2.990708112716675,2.990708112716675,2.990708112716675,0,0.0,0.0,BGP,2020-03-09 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.990708112716675,2.990708112716675,2.990708112716675,2.990708112716675,0,0.0,0.0,BGP,2020-03-10 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.990708112716675,2.990708112716675,2.990708112716675,2.990708112716675,0,0.0,0.0,BGP,2020-03-11 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.990708112716675,2.990708112716675,2.990708112716675,2.990708112716675,0,0.0,0.0,BGP,2020-03-12 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.990708112716675,2.990708112716675,2.990708112716675,2.990708112716675,0,0.0,0.0,BGP,2020-03-13 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.990708112716675,2.990708112716675,2.990708112716675,2.990708112716675,0,0.0,0.0,BGP,2020-03-16 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.990708112716675,2.990708112716675,2.990708112716675,2.990708112716675,0,0.0,0.0,BGP,2020-03-17 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.990708112716675,2.990708112716675,2.990708112716675,2.990708112716675,0,0.0,0.0,BGP,2020-03-18 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.990708112716675,2.990708112716675,2.990708112716675,2.990708112716675,0,0.0,0.0,BGP,2020-03-19 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.990708112716675,2.990708112716675,2.990708112716675,2.990708112716675,0,0.0,0.0,BGP,2020-03-20 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.990708112716675,2.990708112716675,2.990708112716675,2.990708112716675,0,0.0,0.0,BGP,2020-03-23 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.990708112716675,2.990708112716675,2.990708112716675,2.990708112716675,0,0.0,0.0,BGP,2020-03-24 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.8174428939819336,2.8174428939819336,2.8174428939819336,2.8174428939819336,400,0.0,0.0,BGP,2020-03-25 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.8174428939819336,2.8174428939819336,2.8174428939819336,2.8174428939819336,0,0.0,0.0,BGP,2020-03-26 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.8174428939819336,2.8174428939819336,2.8174428939819336,2.8174428939819336,0,0.0,0.0,BGP,2020-03-27 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.8174428939819336,2.8174428939819336,2.8174428939819336,2.8174428939819336,0,0.0,0.0,BGP,2020-03-30 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.8174428939819336,2.8174428939819336,2.8174428939819336,2.8174428939819336,0,0.0,0.0,BGP,2020-03-31 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.8174428939819336,2.8174428939819336,2.8174428939819336,2.8174428939819336,0,0.0,0.0,BGP,2020-04-01 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.8174428939819336,2.8174428939819336,2.8174428939819336,2.8174428939819336,0,0.0,0.0,BGP,2020-04-02 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.8174428939819336,2.8174428939819336,2.8174428939819336,2.8174428939819336,0,0.0,0.0,BGP,2020-04-03 00:00:00+11:00,Consumer Discretionary Distribution & Retail
2.8174428939819336,2.8174428939819336,2.8174428939819336,2.8174428939819336,0,0.0,0.0,BGP,2020-04-06 00:00:00+10:00,Consumer Discretionary Distribution & Retail
2.8174428939819336,2.8174428939819336,2.8174428939819336,2.8174428939819336,0,0.0,0.0,BGP,2020-04-07 00:00:00+10:00,Consumer Discretionary Distribution & Retail
2.8174428939819336,2.8174428939819336,2.8174428939819336,2.8174428939819336,0,0.0,0.0,BGP,2020-04-08 00:00:00+10:00,Consumer Discretionary Distribution & Retail
2.8174428939819336,2.8174428939819336,2.8174428939819336,2.8174428939819336,0,0.0,0.0,BGP,2020-04-09 00:00:00+10:00,Consumer Discretionary Distribution & Retail
2.8174428939819336,2.8174428939819336,2.8174428939819336,2.8174428939819336,0,0.0,0.0,BGP,2020-04-14 00:00:00+10:00,Consumer Discretionary Distribution & Retail
2.8174428939819336,2.8174428939819336,2.8174428939819336,2.8174428939819336,0,0.0,0.0,BGP,2020-04-15 00:00:00+10:00,Consumer Discretionary Distribution & Retail
2.8099095821380615,2.8099095821380615,2.8099095821380615,2.8099095821380615,177,0.0,0.0,BGP,2020-04-16 00:00:00+10:00,Consumer Discretionary Distribution & Retail
2.8099095821380615,2.8099095821380615,2.8099095821380615,2.8099095821380615,0,0.0,0.0,BGP,2020-04-17 00:00:00+10:00,Consumer Discretionary Distribution & Retail
2.8099095821380615,2.8099095821380615,2.8099095821380615,2.8099095821380615,0,0.0,0.0,BGP,2020-04-20 00:00:00+10:00,Consumer Discretionary Distribution & Retail
